Regulator (TF or sigma);Target gene;mode of regulation;Ortholog of the target gene
lasR (AL347_05615);pqsE;+;pqsE
lasR (AL347_05615);aprE;+;aprE
lasR (AL347_05615);pslA;+;pslA
lasR (AL347_05615);xcpP;+;xcpP
lasR (AL347_05615);phnC;+;phnC
lasR (AL347_05615);flp;+;flp
lasR (AL347_05615);mvfR;+;mvfR
lasR (AL347_05615);rhlB;+;rhlB
lasR (AL347_05615);PA1159;+;PA1159
lasR (AL347_05615);hsiA2;+;hsiA2
lasR (AL347_05615);PA2939;+;PA2939
lasR (AL347_05615);clpP2;+;clpP2
lasR (AL347_05615);PA3535;+;PA3535
lasR (AL347_05615);PA4677;+;PA4677
lasR (AL347_05615);PA5184;+;PA5184
lasR (AL347_05615);PA5232;+;PA5232
lasR (AL347_05615);cdpR;+;cdpR
lasR (AL347_05615);pqsH;+;pqsH
lasR (AL347_05615);lasB;+;lasB
lasR (AL347_05615);rhlR;+;rhlR
lasR (AL347_05615);PA0028;+;PA0028
lasR (AL347_05615);PA1869;+;PA1869
lasR (AL347_05615);kinB;+;kinB
lasR (AL347_05615);PA0027;+;PA0027
lasR (AL347_05615);PA0855;+;PA0855
lasR (AL347_05615);PA1419;+;PA1419
lasR (AL347_05615);PA2588;+;PA2588
lasR (AL347_05615);PA5181;+;PA5181
lasR (AL347_05615);PA5231;+;PA5231
lasR (AL347_05615);phzE1;+;phzE1
lasR (AL347_05615);phzF1;+;phzF1
lasR (AL347_05615);phzG1;+;phzG1
lasR (AL347_05615);pslB;+;pslB
lasR (AL347_05615);pslC;+;pslC
lasR (AL347_05615);pslD;+;pslD
lasR (AL347_05615);pslE;+;pslE
lasR (AL347_05615);pslF;+;pslF
lasR (AL347_05615);pslG;+;pslG
lasR (AL347_05615);pslH;+;pslH
lasR (AL347_05615);pslI;+;pslI
lasR (AL347_05615);pslJ;+;pslJ
lasR (AL347_05615);pslK;+;pslK
lasR (AL347_05615);pslL;+;pslL
lasR (AL347_05615);PA1897;+;PA1897
lasR (AL347_05615);phzF2;+;phzF2
lasR (AL347_05615);PA2592;?;PA2592
lasR (AL347_05615);qteE;?;qteE
lexA (AL347_27825);PA0069;-;PA0069
lexA (AL347_27825);PA0922;-;PA0922
lexA (AL347_27825);PA0671;-;PA0671
lexA (AL347_27825);PA0670;-;PA0670
lexA (AL347_27825);PA0669;-;PA0669
lexA (AL347_27825);lexA;-;lexA
lexA (AL347_27825);PA3008;-;PA3008 (sulA)
lexA (AL347_27825);recN;-;recN
lexA (AL347_27825);recA;-;recA
lexA (AL347_27825);PA3616;-;PA3616
lexA (AL347_27825);PA1045;-;PA1045
lexA (AL347_27825);PA1865;-;PA1865
lexA (AL347_27825);PA1866;-;PA1866
lexA (AL347_27825);PA2288;-;PA2288
lexA (AL347_27825);PA3413;-;PA3413
lhpR (AL347_06815);lhpO;+;lhpO
lhpR (AL347_06815);lhpN;+;lhpN
lhpR (AL347_06815);lhpM;+;lhpM
lhpR (AL347_06815);lhpP;+;lhpP
lhpR (AL347_06815);lhpE;+;lhpE
lhpR (AL347_06815);lhpB;+;lhpB
lhpR (AL347_06815);lhpA;+;lhpA
liuR (AL347_02530);liuE;-;liuE
liuR (AL347_02530);liuD;-;liuD
liuR (AL347_02530);liuC;-;liuC
liuR (AL347_02530);liuB;-;liuB
liuR (AL347_02530);liuA;-;liuA
liuR (AL347_02530);liuR;-;liuR
lon (AL347_03630);hfq;-;hfq
mdrR1 (AL347_23235);mexB;-;mexB
mdrR1 (AL347_23235);oprM;-;oprM
mdrR1 (AL347_23235);emrA;+;emrA
mdrR1 (AL347_23235);emrB;+;emrB
metR (AL347_24850);PA0633;-;PA0633
metR (AL347_24850);PA0848;-;PA0848 (ahpB)
metR (AL347_24850);metH;+;metH
metR (AL347_24850);pvdH;+;pvdH
metR (AL347_24850);atuF;+;atuF
metR (AL347_24850);PA4144;+;PA4144
metR (AL347_24850);PA4223;+;PA4223
metR (AL347_24850);ntrC;-;ntrC
metR (AL347_24850);pvdL;+;pvdL
metR (AL347_24850);metR;-;metR
metR (AL347_24850);metE;-;metE
mexR (AL347_19940);mexB;-;mexB
mexR (AL347_19940);oprM;-;oprM
mexR (AL347_19940);mexT;-;mexT
mexR (AL347_19940);nalC;-;nalC
mexR (AL347_19940);mexA;-;mexA
mexT (AL347_32559);mexT;+;mexT
mexT (AL347_32559);rhlI;+;rhlI
mexT (AL347_32559);exsA;-;exsA
mexT (AL347_32559);rhlA;-;rhlA
mexT (AL347_32559);lasB;-;lasB
mexT (AL347_32559);cbpD;-;cbpD
mexT (AL347_32559);pqsA;-;pqsA
mexT (AL347_32559);pqsB;-;pqsB
mexT (AL347_32559);pqsC;-;pqsC
mexT (AL347_32559);pqsD;-;pqsD
mexT (AL347_32559);pqsE;-;pqsE
mexT (AL347_32559);phnA;-;phnA
mexT (AL347_32559);phnB;-;phnB
mexT (AL347_32559);hsiB2;-;hsiB2
mexT (AL347_32559);hsiC2;-;hsiC2
mexT (AL347_32559);pscE;-;pscE
mexT (AL347_32559);PA1744;+;PA1744
mexT (AL347_32559);acp1;-;acp1
mexT (AL347_32559);PA1970;+;PA1970
mexT (AL347_32559);hcnA;-;hcnA
mexT (AL347_32559);hcnB;-;hcnB
mexT (AL347_32559);hcnC;-;hcnC
mexT (AL347_32559);pvdA;+;pvdA
mexT (AL347_32559);ptrC;+;ptrC
mexT (AL347_32559);PA2759;+;PA2759
mexT (AL347_32559);PA2811;+;PA2811
mexT (AL347_32559);PA2812;+;PA2812
mexT (AL347_32559);PA2813;+;PA2813
mexT (AL347_32559);PA3205;+;PA3205
mexT (AL347_32559);PA3229;+;PA3229
mexT (AL347_32559);clpP2;-;clpP2
mexT (AL347_32559);PA3331;-;PA3331
mexT (AL347_32559);PA3332;-;PA3332
mexT (AL347_32559);fabH2;-;fabH2
mexT (AL347_32559);PA4141;+;PA4141
mexT (AL347_32559);pyeR;+;pyeR
mexT (AL347_32559);pyeM;+;pyeM
mexT (AL347_32559);xenB;+;xenB
mexT (AL347_32559);PA4623;+;PA4623
mexT (AL347_32559);lldP;-;lldP
mexT (AL347_32559);lldD;-;lldD
mexT (AL347_32559);PA4772;-;PA4772
mexT (AL347_32559);PA4881;+;PA4881
mexT (AL347_32559);bfd;+;bfd
mexT (AL347_32559);mexE;+;mexE
mexT (AL347_32559);mexF;+;mexF
mexT (AL347_32559);oprN;+;oprN
mexT (AL347_32559);PA1942;+;PA1942
mexT (AL347_32559);mexS;+;mexS
mexT (AL347_32559);PA1333;+;PA1333
mexT (AL347_32559);PA1869;-;PA1869
mexT (AL347_32559);PA4354;+;PA4354
mexT (AL347_32559);qrh;+;qrh
mgtE (AL347_08915);exsA;-;exsA
mgtE (AL347_08915);gacS;+;gacS
mifR (AL347_17375);PA5530;+;PA5530
mmnR (AL347_05575);mmnS;-;mmnS
mmnR (AL347_05575);mmnR;-;mmnR
mmsR (AL347_24945);mmsB;?;mmsB
mmsR (AL347_24945);mmsA;?;mmsA
modE (AL347_20270);modA;-;modA
modE (AL347_20270);modB;-;modB
modE (AL347_20270);modC;-;modC
mucA (AL347_09700);algU;-;algU
mucB (AL347_09695);algU;-;algU
mucC (AL347_09690);algU;-;algU
mucD (AL347_09685);algU;-;algU
mvaT (AL347_10420);ptxS;+;ptxS
mvaT (AL347_10420);mexE;-;mexE
mvaT (AL347_10420);mexF;-;mexF
mvaT (AL347_10420);oprN;-;oprN
mvaT (AL347_10420);aotJ;-;aotJ
mvaT (AL347_10420);cupA1;-;cupA1
mvaT (AL347_10420);cupB1;-;cupB1
mvaT (AL347_10420);sigX;?;sigX
mvaT (AL347_10420);cupC1;-;cupC1
mvaU (AL347_30075);aotJ;-;aotJ
mvaU (AL347_30075);cupA1;-;cupA1
mvfR (AL347_08190);phnA;+;phnA
mvfR (AL347_08190);phnB;+;phnB
mvfR (AL347_08190);rhlI;+;rhlI
mvfR (AL347_08190);algU;?;algU
mvfR (AL347_08190);sigX;?;sigX
mvfR (AL347_08190);femI;?;femI
mvfR (AL347_08190);PA0138;?;PA0138
mvfR (AL347_08190);triB;?;triB
mvfR (AL347_08190);aguR;?;aguR
mvfR (AL347_08190);PA0422;?;PA0422
mvfR (AL347_08190);PA0540;?;PA0540
mvfR (AL347_08190);PA0557;?;PA0557
mvfR (AL347_08190);PA0570;?;PA0570
mvfR (AL347_08190);PA0643;?;PA0643
mvfR (AL347_08190);PA0802;?;PA0802
mvfR (AL347_08190);PA0851;?;PA0851
mvfR (AL347_08190);PA0874;?;PA0874
mvfR (AL347_08190);PA0883;?;PA0883
mvfR (AL347_08190);lysC;?;lysC
mvfR (AL347_08190);PA1200;?;PA1200
mvfR (AL347_08190);PA1295;?;PA1295
mvfR (AL347_08190);PA2004;?;PA2004
mvfR (AL347_08190);lpdV;?;lpdV
mvfR (AL347_08190);PA2864;?;PA2864
mvfR (AL347_08190);PA2874;?;PA2874
mvfR (AL347_08190);pelC;?;pelC
mvfR (AL347_08190);pelB;?;pelB
mvfR (AL347_08190);cprR;?;cprR
mvfR (AL347_08190);xcpT;?;xcpT
mvfR (AL347_08190);PA3214;?;PA3214
mvfR (AL347_08190);amiR;?;amiR
mvfR (AL347_08190);amiC;?;amiC
mvfR (AL347_08190);PA3375;?;PA3375
mvfR (AL347_08190);rhlR;?;rhlR
mvfR (AL347_08190);PA3592;?;PA3592
mvfR (AL347_08190);PA3740;?;PA3740
mvfR (AL347_08190);PA3759;?;PA3759
mvfR (AL347_08190);nagE;?;nagE
mvfR (AL347_08190);PA3840;?;PA3840
mvfR (AL347_08190);eddB;?;eddB
mvfR (AL347_08190);PA4112;?;PA4112
mvfR (AL347_08190);pchG;?;pchG
mvfR (AL347_08190);PA4289;?;PA4289
mvfR (AL347_08190);PA4291;?;PA4291
mvfR (AL347_08190);PA4340;?;PA4340
mvfR (AL347_08190);PA4611;?;PA4611
mvfR (AL347_08190);PA4676;?;PA4676
mvfR (AL347_08190);PA4735;?;PA4735
mvfR (AL347_08190);aruI;?;aruI
mvfR (AL347_08190);PA4987;?;PA4987
mvfR (AL347_08190);PA4992;?;PA4992
mvfR (AL347_08190);PA5136;?;PA5136
mvfR (AL347_08190);PA5210;?;PA5210
mvfR (AL347_08190);PA5543;?;PA5543
mvfR (AL347_08190);pqsA;+;pqsA
mvfR (AL347_08190);pqsB;+;pqsB
mvfR (AL347_08190);pqsC;+;pqsC
mvfR (AL347_08190);pqsD;+;pqsD
mvfR (AL347_08190);pqsE;+;pqsE
mvfR (AL347_08190);mvfR;-;mvfR
mvfR (AL347_08190);rsmA;?;rsmA
mvfR (AL347_08190);mexH;?;mexH
mvfR (AL347_08190);opmD;?;opmD
mvfR (AL347_08190);mexI;?;mexI
mvfR (AL347_08190);mexG;?;mexG
nalC (AL347_24170);mexB;-;mexB
nalC (AL347_24170);oprM;-;oprM
nalC (AL347_24170);armR;-;armR
nalC (AL347_24170);mexA;-;mexA
nalD (AL347_24930);mexB;?;mexB
nalD (AL347_24930);oprM;?;oprM
nalD (AL347_24930);mexA;?;mexA
narL (AL347_23345);nirQ;+;nirQ
narL (AL347_23345);narI;+;narI
narL (AL347_23345);narJ;+;narJ
narL (AL347_23345);narH;+;narH
narL (AL347_23345);narG;+;narG
narL (AL347_23345);nark2;+;nark2
narL (AL347_23345);nark1;+;nark1
narL (AL347_23345);hemA;d;hemA
narL (AL347_23345);hemK;d;hemK
narL (AL347_23345);moeB;d;moeB
narL (AL347_23345);murI;d;murI
narL (AL347_23345);prfA;d;prfA
narL (AL347_23345);arcD;?;arcD
narL (AL347_23345);arcC;?;arcC
narL (AL347_23345);arcB;?;arcB
narL (AL347_23345);arcA;?;arcA
nfxB (AL347_12495);oprJ;-;oprJ
nfxB (AL347_12495);mexD;-;mexD
nfxB (AL347_12495);mexC;-;mexC
nfxB (AL347_12495);nfxB;-;nfxB
np20 (AL347_17315);np20;-;np20
np20 (AL347_17315);znuC;-;znuC
np20 (AL347_17315);znuB;-;znuB
np20 (AL347_17315);PA0781;-;PA0781
np20 (AL347_17315);PA3601;-;PA3601
np20 (AL347_17315);PA3600;-;PA3600
np20 (AL347_17315);PA5536;-;PA5536 (dksA2)
np20 (AL347_17315);PA5535;-;PA5535
np20 (AL347_17315);PA5534;-;PA5534
np20 (AL347_17315);PA4838;-;PA4838
np20 (AL347_17315);PA5537;-;PA5537
np20 (AL347_17315);PA5539;-;PA5539
np20 (AL347_17315);PA5540;-;PA5540
np20 (AL347_17315);pyrQ;-;pyrQ
np20 (AL347_17315);amiA;-;amiA
np20 (AL347_17315);PA4063;-;PA4063
np20 (AL347_17315);PA5498;-;PA5498 (znuA)
nrdR (AL347_22425);nrdD;-;nrdD
nrdR (AL347_22425);nrdG;-;nrdG
nrdR (AL347_22425);nrdJb;-;nrdJb
nrdR (AL347_22425);nrdJa;-;nrdJa
nrdR (AL347_22425);nrdA;-;nrdA
nrdR (AL347_22425);nrdB;-;nrdB
nrdR (AL347_22425);topA;-;topA
ntrC (AL347_15275);ntrB;+;ntrB
ntrC (AL347_15275);ntrC;+;ntrC
ntrC (AL347_15275);PA1730;+;PA1730
ntrC (AL347_15275);PA1731;+;PA1731
ntrC (AL347_15275);PA1732;+;PA1732
ntrC (AL347_15275);glnA;+;glnA
ntrC (AL347_15275);glnK;+;glnK
ntrC (AL347_15275);amtB;+;amtB
ospR (AL347_28765);PA2826;-;PA2826
oxyR (AL347_16475);pvdS;?;pvdS
oxyR (AL347_16475);katB;?;katB
oxyR (AL347_16475);PA0848;?;PA0848 (ahpB)
oxyR (AL347_16475);PA4612;?;PA4612
PA0120 (AL347_18375);dctA;-;dctA
PA0120 (AL347_18375);PA0120;-;PA0120
PA0149 (AL347_18525);PA2384;?;PA2384
PA0167 (AL347_01365);PA1517;-;PA1517
PA0167 (AL347_01365);PA1516;-;PA1516
PA0167 (AL347_01365);alc;-;alc
PA0167 (AL347_01365);PA1514;-;PA1514
PA0167 (AL347_01365);PA1513;-;PA1513
PA0167 (AL347_01365);PA0136;-;PA0136
PA0167 (AL347_01365);PA0137;-;PA0137
PA0167 (AL347_01365);PA0138;-;PA0138
PA0167 (AL347_01365);PA0165;-;PA0165
PA0167 (AL347_01365);PA0166;-;PA0166
PA0167 (AL347_01365);PA0167;-;PA0167
PA0167 (AL347_01365);PA0168;-;PA0168
PA0268 (AL347_19125);PA0269;-;PA0269
PA0268 (AL347_19125);PA0270;-;PA0270
PA0436 (AL347_20000);PA0443;-;PA0443
PA0436 (AL347_20000);PA0444;-;PA0444
PA0436 (AL347_20000);dht;-;dht
PA0436 (AL347_20000);PA0440;-;PA0440
PA0436 (AL347_20000);PA0439;-;PA0439
PA0436 (AL347_20000);codB;-;codB
PA0436 (AL347_20000);codA;-;codA
PA0547 (AL347_20580);PA0547;-;PA0547
PA0547 (AL347_20580);metK;-;metK
PA0779 (AL347_09620);fhp;+;fhp
PA0779 (AL347_09620);fhpR;-;fhpR
PA0797 (AL347_09525);PA0797;-;PA0797
PA0797 (AL347_09525);prpB;-;prpB
PA0797 (AL347_09525);prpC;-;prpC
PA0797 (AL347_09525);PA0794;-;PA0794
PA0797 (AL347_09525);PA0793;-;PA0793
PA0797 (AL347_09525);prpD;-;prpD
PA1050 (AL347_07935);PA1051;+;PA1051
PA1050 (AL347_07935);PA1052;+;PA1052
PA1269 (AL347_06765);PA1269;+;PA1269
PA1269 (AL347_06765);lhpA;+;lhpA
PA1269 (AL347_06765);lhpB;+;lhpB
PA1269 (AL347_06765);lhpP;+;lhpP
PA1269 (AL347_06765);PA1259;+;PA1259 (lhpH)
PA1269 (AL347_06765);lhpM;+;lhpM
PA1269 (AL347_06765);lhpN;+;lhpN
PA1269 (AL347_06765);lhpO;+;lhpO
PA1269 (AL347_06765);PA1255;+;PA1255 (lhpK)
PA1269 (AL347_06765);PA1254;+;PA1254 (lhpC)
PA1269 (AL347_06765);PA1253;+;PA1253 (lhpG)
PA1504 (AL347_05240);xdhA;-;xdhA
PA1504 (AL347_05240);xdhB;-;xdhB
PA1504 (AL347_05240);PA1522;-;PA1522
PA1504 (AL347_05240);PA1521;-;PA1521
PA1504 (AL347_05240);PA1519;-;PA1519
PA1520 (AL347_05155);PA2938;-;PA2938
PA1520 (AL347_05155);PA1520;-;PA1520
PA1520 (AL347_05155);PA1518;-;PA1518
PA1520 (AL347_05155);gcl;-;gcl
PA1520 (AL347_05155);PA1501;-;PA1501
PA1520 (AL347_05155);PA1500;-;PA1500
PA1520 (AL347_05155);PA0165;-;PA0165
PA1520 (AL347_05155);PA1503;-;PA1503
PA1520 (AL347_05155);PA1507;-;PA1507
PA1520 (AL347_05155);PA1517;-;PA1517
PA1520 (AL347_05155);PA1516;-;PA1516
PA1520 (AL347_05155);PA1514;-;PA1514
PA1520 (AL347_05155);PA1513;-;PA1513
PA1520 (AL347_05155);PA0476;-;PA0476
PA1520 (AL347_05155);PA1519;-;PA1519
PA1520 (AL347_05155);alc;-;alc
PA1539 (AL347_05056);PA1539;-;PA1539
PA1539 (AL347_05056);PA1538;-;PA1538
PA1539 (AL347_05056);PA1537;-;PA1537
hmgR (AL347_02560);hmgR;-;hmgR
hmgR (AL347_02560);fahA;-;fahA
hmgR (AL347_02560);maiA;-;maiA
hmgR (AL347_02560);PA2006;-;PA2006
PA2032 (AL347_02445);PA2031;-;PA2031
PA2050 (AL347_02355);PA2384;?;PA2384
PA2206 (AL347_01520);fiuI;?;fiuI
PA2206 (AL347_01520);femI;?;femI
PA2206 (AL347_01520);pvdS;?;pvdS
PA2299 (AL347_33530);PA2299;-;PA2299
PA2299 (AL347_33530);PA2298;-;PA2298
PA2299 (AL347_33530);PA2297;-;PA2297
PA2299 (AL347_33530);PA2296;-;PA2296
PA2299 (AL347_33530);PA2295;-;PA2295
PA2299 (AL347_33530);PA2294;-;PA2294
PA2299 (AL347_33530);PA2293;-;PA2293
PA2299 (AL347_33530);PA2292;-;PA2292
PA2384 (AL347_33095);vreI;?;vreI
PA2384 (AL347_33095);PA1300;?;PA1300 (hxuI)
PA2384 (AL347_33095);sigX;?;sigX
PA2384 (AL347_33095);pvdS;?;pvdS
PA2384 (AL347_33095);hasI;?;hasI
PA2384 (AL347_33095);PA4896;?;PA4896
PA2449 (AL347_32765);gcvH2;+;gcvH2
PA2449 (AL347_32765);gcvP2;+;gcvP2
PA2449 (AL347_32765);glyA2;+;glyA2
PA2449 (AL347_32765);sdaA;+;sdaA
PA2449 (AL347_32765);gcvT2;+;gcvT2
PA2591 (AL347_30475);pprB;-;pprB
PA3184 (AL347_26900);PA3184;-;PA3184
PA3184 (AL347_26900);edd;-;edd
PA3184 (AL347_26900);glk;-;glk
PA3184 (AL347_26900);gltR;-;gltR
PA3184 (AL347_26900);gltS;-;gltS
PA3184 (AL347_26900);gapA;-;gapA
PA3184 (AL347_26900);zwf;-;zwf
PA3184 (AL347_26900);pgl;-;pgl
PA3184 (AL347_26900);PA3181;-;PA3181
PA3249 (AL347_00275);PA3249;-;PA3249
PA3249 (AL347_00275);PA3250;-;PA3250
PA3249 (AL347_00275);PA3251;-;PA3251
PA3249 (AL347_00275);PA3252;-;PA3252
PA3249 (AL347_00275);PA3253;-;PA3253
PA3249 (AL347_00275);PA3254;-;PA3254
PA3249 (AL347_00275);PA3255;-;PA3255
PA3249 (AL347_00275);PA2802;-;PA2802
PA3249 (AL347_00275);PA2803;-;PA2803
PA3249 (AL347_00275);PA2804;-;PA2804
PA3249 (AL347_00275);PA1144;-;PA1144
PA3249 (AL347_00275);PA1143;-;PA1143
PA3249 (AL347_00275);PA1142;-;PA1142
PA3381 (AL347_25825);PA3381;-;PA3381
PA3381 (AL347_25825);PA3380;-;PA3380
PA3381 (AL347_25825);PA3379;-;PA3379
PA3381 (AL347_25825);PA3378;-;PA3378
PA3381 (AL347_25825);PA3377;-;PA3377
PA3381 (AL347_25825);PA3376;-;PA3376
PA3381 (AL347_25825);PA3375;-;PA3375
PA3381 (AL347_25825);PA3374;-;PA3374
PA3381 (AL347_25825);PA3373;-;PA3373
PA3381 (AL347_25825);PA3372;-;PA3372
PA3689 (AL347_24330);PA3690;+;PA3690
PA3697 (AL347_24290);fhp;+;fhp
PA3757 (AL347_23985);PA3757;-;PA3757 (nagR)
PA3757 (AL347_23985);PA3758;-;PA3758
PA3757 (AL347_23985);PA3759;-;PA3759
PA3757 (AL347_23985);PA3760;-;PA3760
PA3757 (AL347_23985);nagE;-;nagE
PA4132 (AL347_22035);cysI;-;cysI
PA4132 (AL347_22035);PA4129;-;PA4129
PA4132 (AL347_22035);PA4133;-;PA4133
PA4165 (AL347_21855);PA4166;-;PA4166
PA4659 (AL347_12815);PA4657;-;PA4657
PA4659 (AL347_12815);PA4658;-;PA4658
PA4659 (AL347_12815);PA4659;-;PA4659
PA4659 (AL347_12815);phr;-;phr
PA4769 (AL347_13440);PA4769;-;PA4769
PA4769 (AL347_13440);lldP;-;lldP
PA4769 (AL347_13440);lldD;-;lldD
PA4769 (AL347_13440);PA4772;-;PA4772
PA4906 (AL347_14140);vanA;-;vanA
PA4906 (AL347_14140);vanB;-;vanB
PA4906 (AL347_14140);PA4903;-;PA4903
PA4916 (AL347_14190);nadD;-;nadD
PA4916 (AL347_14190);PA4916;-;PA4916 (nrtR)
PA4916 (AL347_14190);pcnA;-;pcnA
PA4916 (AL347_14190);pncB1;-;pncB1
PA4916 (AL347_14190);nadE;-;nadE
PA5431 (AL347_16955);PA5432;-;PA5432
PA5431 (AL347_16955);PA5433;-;PA5433
PA5438 (AL347_16995);aceA;?;aceA
PA5438 (AL347_16995);zwf;-;zwf
PA5438 (AL347_16995);aceE;-;aceE
PA5438 (AL347_16995);aceF;-;aceF
PA5438 (AL347_16995);PA5438;-;PA5438
PA5438 (AL347_16995);PA3185;-;PA3185
PA5506 (AL347_17350);PA5506;-;PA5506
PA5506 (AL347_17350);PA5507;-;PA5507
PA5506 (AL347_17350);PA5508;-;PA5508 (pauA7)
PA5506 (AL347_17350);PA5509;-;PA5509
PA5506 (AL347_17350);PA5510;-;PA5510
pchR (AL347_21535);fptA;+;fptA
pchR (AL347_21535);pchF;+;pchF
pchR (AL347_21535);pchE;+;pchE
pchR (AL347_21535);pchR;-;pchR
pchR (AL347_21535);pchD;+;pchD
pchR (AL347_21535);pchC;+;pchC
pchR (AL347_21535);pchB;+;pchB
pchR (AL347_21535);pchA;+;pchA
pchR (AL347_21535);PA0042;?;PA0042
pchR (AL347_21535);phzH;?;phzH
pchR (AL347_21535);PA0643;?;PA0643
pchR (AL347_21535);PA0981;?;PA0981
pchR (AL347_21535);PA0984;?;PA0984
pchR (AL347_21535);mvaU;?;mvaU
pchR (AL347_21535);PA2698;?;PA2698
pchR (AL347_21535);PA2795;?;PA2795 (dusA, yjbN)
pchR (AL347_21535);acpP;?;acpP
pchR (AL347_21535);rocsS2;?;rocsS2
pchR (AL347_21535);rocA2;?;rocA2
pchR (AL347_21535);fimV;?;fimV
pchR (AL347_21535);wbpM;?;wbpM
pchR (AL347_21535);wbpH;?;wbpH
pchR (AL347_21535);wbpG;?;wbpG
pchR (AL347_21535);hisF2;?;hisF2
pchR (AL347_21535);hisH2;?;hisH2
pchR (AL347_21535);wzz;?;wzz
pchR (AL347_21535);PA3190;?;PA3190
pchR (AL347_21535);PA3327;?;PA3327
pchR (AL347_21535);PA3520;?;PA3520
pchR (AL347_21535);bfrB;?;bfrB
pchR (AL347_21535);algD;?;algD
pchR (AL347_21535);arnB;?;arnB
pchR (AL347_21535);PA3691;?;PA3691
pchR (AL347_21535);PA3835;?;PA3835
pchR (AL347_21535);PA3836;?;PA3836
pchR (AL347_21535);PA4080;?;PA4080
pchR (AL347_21535);PA4087;?;PA4087
pchR (AL347_21535);PA4139;?;PA4139
pchR (AL347_21535);phzA1;?;phzA1
pchR (AL347_21535);phzB1;?;phzB1
pchR (AL347_21535);phzC1;?;phzC1
pchR (AL347_21535);phzD1;?;phzD1
pchR (AL347_21535);phzE1;?;phzE1
pchR (AL347_21535);phzF1;?;phzF1
pchR (AL347_21535);rpoC;?;rpoC
pchR (AL347_21535);arcD;?;arcD
pchR (AL347_21535);PA5232;?;PA5232
pepA (AL347_23595);algD;?;algD
pfeR (AL347_29975);pfeA;+;pfeA
phhR (AL347_09140);hpd;+;hpd
phhR (AL347_09140);phhC;+;phhC
phhR (AL347_09140);phhB;+;phhB
phhR (AL347_09140);phhA;+;phhA
phhR (AL347_09140);dhcA;+;dhcA
phhR (AL347_09140);hmgA;+;hmgA
phhR (AL347_09140);phhR;-;phhR
phoB (AL347_16560);vreI;?;vreI
phoB (AL347_16560);PA0165;?;PA0165
phoB (AL347_16560);phdA;?;phdA
phoB (AL347_16560);PA0959;?;PA0959
phoB (AL347_16560);qscR;?;qscR
phoB (AL347_16560);mvaU;?;mvaU
phoB (AL347_16560);PA2793;?;PA2793
phoB (AL347_16560);rocsS2;?;rocsS2
phoB (AL347_16560);rocA2;?;rocA2
phoB (AL347_16560);wbpH;?;wbpH
phoB (AL347_16560);wbpG;?;wbpG
phoB (AL347_16560);PA3190;?;PA3190
phoB (AL347_16560);oprP;?;oprP
phoB (AL347_16560);PA3327;?;PA3327
phoB (AL347_16560);phnC;?;phnC
phoB (AL347_16560);amrZ;?;amrZ
phoB (AL347_16560);rhlR;?;rhlR
phoB (AL347_16560);PA3519;?;PA3519
phoB (AL347_16560);PA3520;?;PA3520
phoB (AL347_16560);algD;?;algD
phoB (AL347_16560);arnB;?;arnB
phoB (AL347_16560);PA3835;?;PA3835
phoB (AL347_16560);PA4080;?;PA4080
phoB (AL347_16560);cupB3;?;cupB3
phoB (AL347_16560);PA4087;?;PA4087
phoB (AL347_16560);PA4139;?;PA4139
phoB (AL347_16560);nmoA;?;nmoA
phoB (AL347_16560);phzA1;?;phzA1
phoB (AL347_16560);phzB1;?;phzB1
phoB (AL347_16560);phzC1;?;phzC1
phoB (AL347_16560);phzD1;?;phzD1
phoB (AL347_16560);phzE1;?;phzE1
phoB (AL347_16560);phzF1;?;phzF1
phoB (AL347_16560);rplC;?;rplC
phoB (AL347_16560);rcpC;?;rcpC
phoB (AL347_16560);ctpL;?;ctpL
phoB (AL347_16560);opgG;?;opgG
phoB (AL347_16560);pstC;?;pstC
phoB (AL347_16560);PSPA7_RS26570;?;PSPA7_RS26570 (PSPA7_5564)
phoB (AL347_16560);phoU;?;phoU
phoP (AL347_07240);oprH;+;oprH
phoP (AL347_07240);phoP;+;phoP
phoP (AL347_07240);phoQ;+;phoQ
phoP (AL347_07240);gabD;+;gabD
phoP (AL347_07240);davT;+;davT
phoP (AL347_07240);PA0921;+;PA0921
phoP (AL347_07240);ddaR;-;ddaR
phoP (AL347_07240);PA3309;-;PA3309
phoP (AL347_07240);mexQ;+;mexQ
phoP (AL347_07240);mucP;+;mucP
phoP (AL347_07240);tpbA;+;tpbA
phoP (AL347_07240);sodB;+;sodB
phoP (AL347_07240);PA4453;+;PA4453
phoP (AL347_07240);PA4454;+;PA4454
phoP (AL347_07240);PA4455;+;PA4455
phoP (AL347_07240);pcnA;-;pcnA
phoP (AL347_07240);arnB;+;arnB
phoP (AL347_07240);arnC;+;arnC
phoP (AL347_07240);arnA;+;arnA
phoP (AL347_07240);arnD;+;arnD
phoP (AL347_07240);arnT;+;arnT
phoP (AL347_07240);arnE;+;arnE
phoP (AL347_07240);arnF;+;arnF
phoP (AL347_07240);PA3559;+;PA3559
phoP (AL347_07240);PA4010;+;PA4010
phoP (AL347_07240);PA4011;+;PA4011
phoP (AL347_07240);gabT;+;gabT
phoP (AL347_07240);ackA;-;ackA
phoP (AL347_07240);PA1343;?;PA1343
phoQ (AL347_07235);oprH;+;oprH
phoQ (AL347_07235);phoP;+;phoP
phoQ (AL347_07235);phoQ;+;phoQ
